1.  Picture jobs & formats
53 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
35mm film | 35mm film, classic still-camera | 35mm_film | classic still-camera
medium format | medium format, expensive stillness | medium_format | expensive stillness
large format | large format, ritual detail | large_format | ritual detail
Polaroid | Polaroid / instant | polaroid, instant | soft color, object-frame
Kodak Portra | Kodak Portra 400 | kodak_portra_400 | warm skin, gentle
Kodak Gold | Kodak Gold 200 | kodak_gold_200 | consumer sun
Cinestill 800T | Cinestill 800T, night tungsten, halation | cinestill_800t | night tungsten, halation
Fuji Pro | Fuji Pro 400H | fuji_pro_400h | airy green, cool shadow
Ilford HP5 | Ilford HP5, gritty B&W | ilford_hp5 | gritty B&W
Tri-X 400 | Tri-X 400, street punch B&W | tri-x_400 | street punch B&W
daguerreotype | daguerreotype, mirror-plate antique | daguerreotype | mirror-plate antique
wet plate | wet plate collodion | wet_plate_collodion | long-exposure stillness
tintype | tintype, dark metal ghost | tintype | dark metal ghost
cyanotype | cyanotype, prussian blue photogram | cyanotype | Prussian blue photogram
toy camera | toy camera / Holga | toy_camera, holga | vignette, leak
expired film | expired film, color drift | expired_film | color drift
cross-processed | cross-processed, wrong chemistry color | cross-processed | wrong chemistry color
film grain | film grain subtle | film_grain_subtle | breaks digital smooth
halation subtle | halation subtle, lights bleed | halation_subtle | lights bleed
CRT | CRT, phosphor, curve, scanline | crt | phosphor, curve, scanline
VHS | VHS, chroma smear, tracking | vhs | chroma smear, tracking
early digital | early digital video | early_digital_video | 2000s harsh
ARRI Alexa | ARRI Alexa look | arri_alexa_look | modern cinema highlights
anamorphic still | anamorphic still, oval bokeh, streak flare | anamorphic_still | oval bokeh, streak flare
view camera | view camera 4x5 / 8x10 | view_camera_4x5, 8x10 | movements, huge detail
6x6 Hasselblad-like | 6x6 Hasselblad-like, square dignity | 6x6_hasselblad-like | square dignity
rangefinder street | rangefinder street kit | rangefinder_street_kit | quiet 28/35/50
twin-lens Rollei | twin-lens Rollei look | twin-lens_rollei_look | waist-level mid-century
pinhole | pinhole, infinite depth, hours | pinhole | infinite depth, hours
infrared | infrared, white foliage black sky | infrared | white foliage black sky
multiple exposure | multiple exposure, ghost stack | multiple_exposure | ghost stack
push-processed film | push-processed film, grain contrast up | push-processed_film | grain contrast up
lith print | lith print, infectious warm black | lith_print | infectious warm black
selenium tone | selenium tone, eggplant archival black | selenium_tone | eggplant archival black
split tone | split tone, highlight one hue, shadow another | split_tone | highlight one hue, shadow another
platinum/palladium | platinum/palladium, matte noble gray | platinum, palladium | matte noble gray
albumen print | albumen print, 19c violet-brown | albumen_print | 19c violet-brown
photogravure | photogravure, ink in a well | photogravure | ink in a well
--- END TABLE ---
5.  Illustration & print
41 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
oil | oil on canvas | oil_on_canvas | weave + mass
impasto | impasto, knife ridges | impasto | knife ridges
glazing | glazing, luminous layers | glazing | luminous layers
Baroque oil | Baroque oil, flesh, dark ground | baroque_oil | flesh, dark ground
watercolor | watercolor, paper bloom | watercolor | paper bloom
wet-on-wet | wet-on-wet, bleed atmosphere | wet-on-wet | bleed atmosphere
gouache | gouache, matte poster opaque | gouache | matte poster opaque
tempera | tempera, dry early-renaissance | tempera | dry early-renaissance
fresco | fresco, wall mineral | fresco | wall mineral
acrylic | acrylic, brighter, flatter | acrylic | brighter, flatter
sumi-e | sumi-e / ink wash | sumi-e, ink_wash | ink economy
gongbi | gongbi, fine-line Chinese | gongbi | fine-line Chinese
xieyi | xieyi, freehand Chinese | xieyi | freehand Chinese
nihonga | nihonga, mineral pigment JP | nihonga | mineral pigment JP
charcoal | charcoal, velvet black | charcoal | velvet black
graphite study | graphite study, academic tone | graphite_study | academic tone
colored pencil | colored pencil, wax layer | colored_pencil | wax layer
pastel | pastel, chalk bloom | pastel | chalk bloom
ballpoint sketch | ballpoint sketch, humble hatch | ballpoint_sketch | humble hatch
cross-hatching | cross-hatching, form from line | cross-hatching | form from line
stipple | stipple, dot tone | stipple | dot tone
etching | etching, bitten line | etching | bitten line
engraving | engraving, hard print line | engraving | hard print line
lithograph | lithograph, crayon-stone | lithograph | crayon-stone
woodcut | woodcut, carved punch | woodcut | carved punch
linocut | linocut, friendlier carve | linocut | friendlier carve
screenprint | screenprint, flat layered ink | screenprint | flat layered ink
risograph | risograph, misregister, fluorescent | risograph | misregister, fluorescent
letterpress | letterpress, impressed type | letterpress | impressed type
comic ink | comic ink / spot black | comic_ink, spot_black | graphic narrative
marker rendering | marker rendering, copic design-school | marker_rendering | Copic design-school
matte painting | matte painting, cinema environment plate | matte_painting | cinema environment plate
digital painting | digital painting, specify brush | digital_painting | specify brush
photobash concept | photobash concept, collage-real prepro | photobash_concept | collage-real prepro
speedpaint | speedpaint, unfinished on purpose | speedpaint | unfinished on purpose
xerox decay | xerox decay, generation-loss black | photocopy, high_contrast | office print
letterpress bite | letterpress bite, ink squash at the edge | letterpress | impression
riso misreg | risograph misregistration, one plate off | risograph | error as look
cyanotype | a cyanotype, Prussian blue | cyanotype | process
photogravure | photogravure, ink in the pits | photogravure | process
Edo-dot | Edo-dot game portrait, chunky pixel | pixel_art | arcade
--- END TABLE ---
6.  3D & render engines
24 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
3D render | 3D render, needs a renderer name or looks generic | 3d_render | needs a renderer name or looks generic
octane render | octane render, filmic CG materials | octane_render | filmic CG materials
cycles render | cycles render, blender-like light | cycles_render | Blender-like light
unreal engine | unreal engine cinematic | unreal_engine_cinematic | game beauty shot
path traced | path traced, quiet physically based | path_traced | quiet physically based
PBR materials | PBR materials, correct metal/roughness | pbr_materials | correct metal/roughness
hard-surface modeling | hard-surface modeling, panel gaps | hard-surface_modeling | panel gaps
clay render | clay render, form only, grey | clay_render | form only, grey
wireframe overlay | wireframe overlay, topology visible | wireframe_overlay | topology visible
low-poly | low-poly, facet as style | low-poly | facet as style
voxel | voxel, cube volume | voxel | cube volume
isometric 3D | isometric 3D, diorama tactic view | isometric_3d | diorama tactic view
cel-shaded 3D | cel-shaded 3D, anime light on sculpture | cel-shaded_3d | anime light on sculpture
painterly 3D | painterly 3D, arcane-adjacent brush | painterly_3d | Arcane-adjacent brush
photogrammetry look | photogrammetry look, capture noise | photogrammetry_look | capture noise
hologram | hologram, scanline light body | hologram | scanline light body
glitch art | glitch art, channel offset | glitch_art | channel offset
Redshift | Redshift render, clean CGI, controlled highlights | 3d, redshift | look-dev default
V-Ray | V-Ray render, architectural still, hard sun through glass | 3d, vray | archviz dialect
Blender Cycles | Blender Cycles, path-traced, slightly academic CGI | 3d, cycles | open-tool look
Eevee realtime | Eevee realtime, fast, slightly plastic fill | 3d, realtime | game-engine still
clay shader | clay shader, no textures, form only | clay_render, monochrome | form check
toy-plastic shader | toy-plastic shader, candy highlights, molded seams | 3d, plastic | collectible look
character SSS | character render, subsurface skin, hair cards or grooms | 3d, subsurface_scattering | hero CG person
--- END TABLE ---
7.  Art movements & graphic traditions
59 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
classical antiquity | classical antiquity, marble, contrapposto, drapery | classical_antiquity | marble, contrapposto, drapery
Hellenistic | Hellenistic, emotion, torsion | hellenistic | emotion, torsion
Byzantine gold | Byzantine gold ground | byzantine_gold_ground | frontal sacred
medieval illumination | medieval illumination, jewel flat space | medieval_illumination | jewel flat space
Gothic elongation | Gothic elongation, pointed, glass-color | gothic_elongation | pointed, glass-color
Early | Early / High Renaissance | early, high_renaissance | perspective, ideal anatomy
Northern Renaissance | Northern Renaissance, oil micro-detail | northern_renaissance | oil micro-detail
Mannerism | Mannerism, stylish stretch | mannerism | stylish stretch
Baroque | Baroque, diagonal theater | baroque | diagonal theater
Caravaggesque | Caravaggesque, spotlight from dark | caravaggesque | spotlight from dark
Rococo | Rococo, pastel froth | rococo | pastel froth
Neoclassical | Neoclassical, stoic line | neoclassical | stoic line
Romanticism | Romanticism, sublime storm | romanticism | sublime storm
Hudson River | Hudson River School | hudson_river_school | luminous American land
Realism Courbet-line | Realism Courbet-line, unideal labor | realism_courbet-line | unideal labor
Pre-Raphaelite | Pre-Raphaelite, jewel literary | pre-raphaelite | jewel literary
Impressionism | Impressionism, broken outdoor color | impressionism | broken outdoor color
Post-Impressionism | Post-Impressionism, structure + symbol | post-impressionism | structure + symbol
Pointillism | Pointillism, optical dots | pointillism | optical dots
Symbolism | Symbolism, inner vision | symbolism | inner vision
Art Nouveau | Art Nouveau, whiplash botanical | art_nouveau | whiplash botanical
Vienna Secession | Vienna Secession, gold + geometry | vienna_secession | gold + geometry
Tonalism | Tonalism, hush limited palette | tonalism | hush limited palette
Fauvism | Fauvism, wild hue | fauvism | wild hue
German Expressionism | German Expressionism, woodcut anguish | german_expressionism | woodcut anguish
Cubism | Cubism, faceted view | cubism | faceted view
Futurism | Futurism, speed worship | futurism | speed worship
Constructivism | Constructivism, red-black diagonal | constructivism | red-black diagonal
De Stijl | De Stijl, primary grid | de_stijl | primary grid
Bauhaus | Bauhaus, workshop function | bauhaus | workshop function
Art Deco | Art Deco, sunburst luxury geometry | art_deco | sunburst luxury geometry
Streamline Moderne | Streamline Moderne, 1930s speed-form | streamline_moderne | 1930s speed-form
Surrealism | Surrealism, deadpan impossible | surrealism | deadpan impossible
Dada collage | Dada collage, cut-up revolt | dada_collage | cut-up revolt
Abstract Expressionism | Abstract Expressionism, gesture field | abstract_expressionism | gesture field
Color Field | Color Field, stained hover | color_field | stained hover
Pop Art | Pop Art, ben-Day consumer | pop_art | Ben-Day consumer
Op Art | Op Art, optical dazzle | op_art | optical dazzle
Minimalism | Minimalism, industrial silence | minimalism | industrial silence
Photorealism | Photorealism as painting | photorealism_as_painting | paint impersonates photo
Street muralism | Street muralism, public scale | street_muralism | public scale
Lowbrow | Lowbrow / pop surreal | lowbrow, pop_surreal | cartoon + gallery
Afrofuturist art | Afrofuturist art, diaspora futures | afrofuturist_art | diaspora futures
contemporary figurative | contemporary figurative, current paint handling | contemporary_figurative | current paint handling
ukiyo-e | ukiyo-e, edo woodblock flat | ukiyo-e | Edo woodblock flat
shin-hanga | shin-hanga, moodier Japanese print | shin-hanga | moodier Japanese print
Persian miniature | Persian miniature, jewel stacked space | persian_miniature | jewel stacked space
Mughal miniature | Mughal miniature, court profile garden | mughal_miniature | court profile garden
thangka | thangka, sacred diagram gold | thangka | sacred diagram gold
Mexican muralism | Mexican muralism, public epic earth-red | mexican_muralism | public epic earth-red
Soviet poster | Soviet poster, hero worker limited ink | soviet_poster | hero worker limited ink
WPA poster | WPA poster, 1930s US bands of color | wpa_poster | 1930s US bands of color
Swiss International | Swiss International, grid, poster chill | swiss_international | grid, poster chill
Polish school | Polish school of posters | polish_school_of_posters | metaphor graphic
psychedelic poster | psychedelic poster, melting letterforms | psychedelic_poster | melting letterforms
tattoo flash | tattoo flash sheet | tattoo_flash_sheet | bold motifs on paper
botanical illustration | botanical illustration, specimen cream paper | botanical_illustration | specimen cream paper
scientific illustration | scientific illustration, didactic clarity | scientific_illustration | didactic clarity
bestiary page | bestiary page, medieval animal lore | bestiary_page | medieval animal lore
--- END TABLE ---
8.  Named aesthetics & vibe packs
68 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
cottagecore | cottagecore, linen, bread, wildflower, slow rural | cottagecore | linen, bread, wildflower, slow rural
grandmacore | grandmacore, doily, tea rose, knit | grandmacore | doily, tea rose, knit
goblincore | goblincore, moss, hoard, damp charm | goblincore | moss, hoard, damp charm
fairycore | fairycore, gossamer, glade | fairycore | gossamer, glade
dark fairycore | dark fairycore, thorn, night flower | dark_fairycore | thorn, night flower
whimsigoth | whimsigoth, 90s celestial witch velvet | whimsigoth | 90s celestial witch velvet
witchcore | witchcore, herb, iron key, candle clutter | witchcore | herb, iron key, candle clutter
hearthcore | hearthcore, stove as sun | hearthcore | stove as sun
farmcore | farmcore, mud, labor, gold field | farmcore | mud, labor, gold field
cabincore | cabincore, pine, wool, lake morning | cabincore | pine, wool, lake morning
coastal grandmother | coastal grandmother, white linen, hydrangea | coastal_grandmother | white linen, hydrangea
coastal cowgirl | coastal cowgirl, denim + shoreline | coastal_cowgirl | denim + shoreline
coquette | coquette, bow, ballet-pink, self-aware sweet | coquette | bow, ballet-pink, self-aware sweet
balletcore | balletcore, wrap, satin, barre | balletcore | wrap, satin, barre
soft girl | soft girl, pastel plush comfort | soft_girl | pastel plush comfort
clean girl | clean girl, slick bun, dewy, quiet neutral | clean_girl | slick bun, dewy, quiet neutral
quiet luxury | quiet luxury / old money | quiet_luxury, old_money | unbranded cashmere, taupe
preppy | preppy, polo, stripe, campus | preppy | polo, stripe, campus
dark academia | dark academia, tweed, library, autumn oak | dark_academia | tweed, library, autumn oak
light academia | light academia, same campus, cream sun | light_academia | same campus, cream sun
chaotic academia | chaotic academia, ink mess brilliance | chaotic_academia | ink mess brilliance
gothic academia | gothic academia, cloister scholarship | gothic_academia | cloister scholarship
romantic gothic | romantic gothic, ruin moonlight longing | romantic_gothic | ruin moonlight longing
southern gothic | southern gothic, humidity, moss, decayed grandeur | southern_gothic | humidity, moss, decayed grandeur
corporate gothic | corporate gothic, fluorescent cathedral office | corporate_gothic | fluorescent cathedral office
Victorian mourning | Victorian mourning, jet, crepe | victorian_mourning | jet, crepe
vampcore | vampcore, nocturnal antique luxury | vampcore | nocturnal antique luxury
noir | noir, blind slat, smoke, moral shadow | noir | blind slat, smoke, moral shadow
neo-noir | neo-noir, color noir, modern rot | neo-noir | color noir, modern rot
grunge | grunge, thrift flannel, 90s basement | grunge | thrift flannel, 90s basement
trad goth | trad goth, batcave pallor | trad_goth | batcave pallor
mall goth | mall goth, 90s platform spiderweb | mall_goth | 90s platform spiderweb
nu-goth | nu-goth, minimal black modern | nu-goth | minimal black modern
e-girl | e-girl / e-boy | e-girl, e-boy | webcam neon liner, adult
metalhead | metalhead, patch vest, stage light | metalhead | patch vest, stage light
riot grrrl | riot grrrl, xerox baby-tee slogan | riot_grrrl | xerox baby-tee slogan
cyberpunk | cyberpunk, neon rain, chrome + poverty | cyberpunk | neon rain, chrome + poverty
dieselpunk | dieselpunk, interwar grimy machine | dieselpunk | interwar grimy machine
steampunk | steampunk, brass Victorian science | steampunk | brass Victorian science — go easy on goggles
atompunk | atompunk, 50s nuclear Googie | atompunk | 50s nuclear Googie
raygun gothic | raygun gothic, deco rocket optimism | raygun_gothic | Deco rocket optimism
retrofuturism | retrofuturism, yesterday’s tomorrow | retrofuturism | yesterday’s tomorrow
solarpunk | solarpunk, vine on solar, hopeful tech | solarpunk | vine on solar, hopeful tech
lunarpunk | lunarpunk, bioluminescent eco-night | lunarpunk | bioluminescent eco-night
biopunk | biopunk, wet lab, spliced body | biopunk | wet lab, spliced body
vaporwave | vaporwave, pink-cyan marble mall Win95 | vaporwave | pink-cyan marble mall Win95
synthwave | synthwave / outrun | synthwave, outrun | grid sunset chrome car
Y2K | Y2K, chrome butterfly millennium glam | y2k | chrome butterfly millennium glam
McBling | McBling, early-00s logo fur shine | mcbling | early-00s logo fur shine
Frutiger Aero | Frutiger Aero, 2000s glossy water-sky UI | frutiger_aero | 2000s glossy water-sky UI
webcore | webcore / weirdcore | webcore, weirdcore | early-net debris
dreamcore | dreamcore, soft surreal childhood-adjacent unease | dreamcore | soft surreal childhood-adjacent unease
liminal space | liminal space, empty familiar fluorescent | liminal_space | empty familiar fluorescent
backrooms yellow | backrooms yellow, damp carpet infinity | backrooms_yellow | damp carpet infinity
analog horror | analog horror, fake public-domain VHS dread | analog_horror | fake public-domain VHS dread
old Hollywood | old Hollywood glamour | old_hollywood_glamour | Paramount lamp, satin
Hollywood Regency | Hollywood Regency, palm lacquer contrast | hollywood_regency | palm lacquer contrast
Japandi | Japandi, japan + Scandinavia space | japandi | Japan + Scandinavia space
wabi-sabi | wabi-sabi, honorable wear | wabi-sabi | honorable wear
mid-century modern | mid-century modern, teak atomic lamp | mid-century_modern | teak atomic lamp
Memphis Milano | Memphis Milano, 80s playful laminate | memphis_milano | 80s playful laminate
brutalism | brutalism, raw concrete monument | brutalism | raw concrete monument
maximalism | maximalism, pattern courage | maximalism | pattern courage
minimalism lifestyle | minimalism lifestyle, one chair discipline | minimalism_lifestyle | one chair discipline
industrial loft | industrial loft, brick iron window | industrial_loft | brick iron window
night luxe | night luxe, wet asphalt jewelry light | night_luxe | wet asphalt jewelry light
La Dolce | La Dolce Vita | la_dolce_vita | 60s Italian leisure
tropical modernism | tropical modernism, breezeblock shade | tropical_modernism | breezeblock shade
--- END TABLE ---
9.  Cute, kawaii, anime & manga
32 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
kawaii rounded | kawaii rounded safe decorated | kawaii_rounded_safe_decorated | JP cute system
chibi | chibi / super-deformed 2–4 heads | chibi, super-deformed_24_heads | comic body
plush visible | plush visible stitch | plush_visible_stitch | sewn soft
felted wool | felted wool handmade | felted_wool_handmade | needle-felt
amigurumi crochet | amigurumi crochet logic | amigurumi_crochet_logic | yarn creature
mascot | mascot / yuru-chara readable silhouette | mascot, yuru-chara_readable_silhouette | regional friend
pastel peach-cream | pastel peach-cream strawberry-milk mint-lilac | pastel_peach-cream_strawberry-milk_mint-lilac | kawaii palettes
tiny hat | tiny hat on an animal | tiny_hat_on_an_animal | instant charm
snack bigger | snack bigger than the head chibi physics | snack_bigger_than_the_head_chibi_physics | scale joke
cel shading | cel shading hard shadow bands | cel_shading_hard_shadow_bands | TV engine
two-tone vs | two-tone vs three-band light | two-tone_vs_three-band_light | simple vs form
clean lineart | clean lineart variable weight | clean_lineart_variable_weight | thick silhouette thin interior
thin shōjo | thin shōjo line vs bold shōnen ink vs gekiga grit | thin_shōjo_line | demographic line
screentone manga | screentone manga dots | screentone_manga_dots | print shadow
speed lines | speed lines impact still | speed_lines_impact_still | motion
painterly key | painterly key visual not TV cel | painterly_key_visual_not_tv_cel | artbook
Ghibli-adjacent watercolor | Ghibli-adjacent watercolor background | ghibli-adjacent_watercolor_background | painted place
1990s OVA | 1990s OVA grain analog airbrush | 1990s_ova_grain_analog_airbrush | luxury night driving
1970s TV | 1970s TV simple warm limited | 1970s_tv_simple_warm_limited | early
webgen | webgen / pixiv digital polish | webgen, pixiv_digital_polish | now illustration
manhwa long-scroll | manhwa long-scroll polish | manhwa_long-scroll_polish | KR webtoon
huge reflective | huge reflective irises emotion mirrors | huge_reflective_irises_emotion_mirrors | eye dialect
ahoge hair | ahoge hair antenna | ahoge_hair_antenna | character tic
school rooftop | school rooftop / train goodbye / konbini night / vending glow | school_rooftop, train_goodbye, konbini_night, vending_glow | JP youth geography — keep
power aura | power aura hair physics | power_aura_hair_physics | shōnen energy
jitome | jitome half-lidded unimpressed eyes | jitome | eye dialect
tareme | tareme downturned soft eyes | tareme | gentle
tsurime | tsurime upturned sharp eyes | tsurime | fierce
blush lines | old-anime blush lines on cheeks | blush, blush_stickers | 2000s
sweatdrop | comedy sweatdrop | sweatdrop | gag
anger vein | cross-popping vein mark | anger_vein | gag
sparkle eyes | star catchlights overflowing | sparkle, shining_eyes | moe shine
--- END TABLE ---
10.  Anime & manga style dialects
29 options.
--- TABLE ---
WORD | NATURAL PHRASE | DANBOORU TAGS | EFFECT / LOOK
anime coloring | cel-style anime coloring, hard shadow shapes | anime_coloring, cel_shading | TV default
anime screenshot | looks like a broadcast still, flatter BG | anime_screenshot | on-model shortcuts
official art | key-visual polish, poster lighting | official_art | higher finish
1980s anime | 1980s anime style, thick paint, sharp face | 1980s_(style) | decade line
1990s anime | 1990s anime style, cleaner cel, night neon | 1990s_(style) | decade
